ubicacion,dedicacion,contrato,salario,rol,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,tecnologias,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,genero,seniority,marvin_rol
Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,Developer,24,26,24,0,"C++, COBOL, Python, Solidity, SQL",De 501 a 1000 personas,100% presencial,50,Hombre Cis,Senior,9
Córdoba,Full-Time,Staff (planta permanente),2600000.0,DBA (Database Administrator),5,0,0,0,"HTML, SQL",De 1001 a 2000 personas,100% remoto,32,Hombre Cis,Semi-Senior,6
Buenos Aires,Full-Time,Staff (planta permanente),2013000.0,SysAdmin / DevOps / SRE,14,2,2,0,Python,Más de 10000 personas,100% remoto,41,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3230000.0,Manager / Director,25,15,5,12,"Python, SQL",De 1001 a 2000 personas,100% remoto,49,Hombre Cis,Senior,6
Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,Technical Leader,18,3,3,4,".NET, C#, Javascript, SQL, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),48,Hombre Cis,Senior,3
Santa Fe,Full-Time,Staff (planta permanente),2398000.0,SysAdmin / DevOps / SRE,20,3,3,0,"Bash/Shell, Python, Scala, SQL",De 11  a 50  personas,100% remoto,43,Hombre Cis,Senior,9
Santa Fe,Part-Time,Staff (planta permanente),1117000.0,Developer,3,0,0,0,"Java, Javascript, SQL, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),25,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5500000.0,Manager / Director,14,6,5,3,"ABAP, C#, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),36,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3410000.0,Developer,17,9,9,5,".NET, C#, HTML, Java, Kotlin, SQL",De 11  a 50  personas,100% remoto,53,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2750000.0,Developer,4,4,4,0,Javascript,De 51 a 100 personas,Híbrido (presencial y remoto),29,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000.0,Developer,10,0,6,0,"Java, Javascript, Python",De 201 a 500 personas,100% remoto,49,Mujer Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3260202.69,Developer,3,0,0,0,Java,De 5001 a 10000 personas,Híbrido (presencial y remoto),44,Mujer Cis,Semi-Senior,3
Santa Fe,Full-Time,Participación societaria en una cooperativa,2700000.0,Technical Leader,10,5,3,5,"HTML, Java, Javascript, TypeScript",De 11  a 50  personas,Híbrido (presencial y remoto),31,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2250000.0,Developer,8,1,5,0,Java,De 201 a 500 personas,100% remoto,46,Hombre Cis,Senior,3
La Pampa,Full-Time,Staff (planta permanente),3000000.0,VP / C-Level,30,30,20,4,"Bash/Shell, C++, PHP, Python",De 2001a 5000 personas,100% presencial,52,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1408396.0,BI Analyst / Data Analyst,2,2,1,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),23,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1210000.0,Fuera de IT,10,0,0,0,"PHP, SQL",De 2 a 10 personas,Híbrido (presencial y remoto),27,Hombre Cis,Senior,3
Mendoza,Full-Time,Staff (planta permanente),2290000.0,SysAdmin / DevOps / SRE,5,3,3,0,Python,De 11  a 50  personas,Híbrido (presencial y remoto),35,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),969910.0,Infosec,2,0,0,0,"Bash/Shell, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),29,Mujer Cis,Junior,6
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2600000.0,Data Engineer,5,2,2,0,"C#, SQL, VBA, Sybase",De 501 a 1000 personas,100% remoto,30,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,BI Analyst / Data Analyst,9,1,3,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),33,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2600000.0,Developer,10,3,3,0,"HTML, Java, Javascript, Python, SQL, TypeScript",De 101 a 200 personas,100% remoto,35,Hombre Cis,Senior,4
Córdoba,Full-Time,Staff (planta permanente),1546132.0,SysAdmin / DevOps / SRE,5,12,5,0,SQL,De 1001 a 2000 personas,Híbrido (presencial y remoto),45,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000.0,SysAdmin / DevOps / SRE,1,2,1,0,"Bash/Shell, Powershell",De 2001a 5000 personas,100% remoto,27,Hombre Cis,Junior,9
Buenos Aires,Full-Time,Staff (planta permanente),915999.0,Developer,3,3,3,0,".NET, C#, Javascript, SQL",De 2 a 10 personas,100% remoto,28,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000.0,Sales / Pre-Sales,30,20,10,0,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),50,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4300429.0,Technical Leader,3,1,1,0,"CSS, HTML, Javascript, Python, TypeScript",Más de 10000 personas,Híbrido (presencial y remoto),39,Mujer Cis,Semi-Senior,4
Santa Fe,Full-Time,Staff (planta permanente),1800000.0,SysAdmin / DevOps / SRE,12,8,6,0,Ninguno de los anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),41,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1300000.0,QA / Tester,7,3,6,3,".NET, CSS, SQL",De 101 a 200 personas,100% remoto,29,Mujer Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2550000.0,Developer,23,3,2,0,"Go, Java",Más de 10000 personas,Híbrido (presencial y remoto),49,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,Developer,4,3,3,0,Java,De 11  a 50  personas,100% remoto,29,Mujer Cis,Semi-Senior,3
Santa Fe,Full-Time,Staff (planta permanente),3500000.0,VP / C-Level,30,12,6,9,"HTML, Javascript, PHP, SQL, TypeScript",De 11  a 50  personas,Híbrido (presencial y remoto),46,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,Designer,4,0,0,0,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,31,Hombre Cis,Semi-Senior,9
Santa Fe,Full-Time,Staff (planta permanente),2693233.38,Developer,3,11,3,0,".NET, Java, SQL, VBA",De 201 a 500 personas,Híbrido (presencial y remoto),36,Mujer Cis,Semi-Senior,3
Mendoza,Full-Time,Staff (planta permanente),3500000.0,Data Engineer,4,0,0,0,"Python, SQL",De 101 a 200 personas,100% remoto,41,Mujer Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000.0,Developer,13,2,2,0,"CSS, HTML, Javascript, PHP, TypeScript",De 1001 a 2000 personas,100% remoto,35,Mujer Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2078200.0,UX Designer,5,0,0,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),37,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1226323.0,SysAdmin / DevOps / SRE,0,2,0,0,"Python, Swift",De 201 a 500 personas,Híbrido (presencial y remoto),24,Hombre Cis,Junior,9
Corrientes,Full-Time,Staff (planta permanente),1209600.0,SysAdmin / DevOps / SRE,2,2,0,0,"Bash/Shell, HTML, Java, Javascript, PHP, Python, SQL",De 11  a 50  personas,100% remoto,33,Hombre Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1450000.0,HelpDesk,8,6,4,6,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),34,Mujer Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),2220000.0,Developer,1,15,1,0,".NET, C#, HTML, Java, Javascript, Python, SQL",De 51 a 100 personas,Híbrido (presencial y remoto),43,Mujer Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Architect,28,0,0,0,".NET, Bash/Shell, HTML, Java, Javascript, PHP, Python",De 11  a 50  personas,Híbrido (presencial y remoto),55,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5900000.0,Technical Leader,5,0,0,16,Ninguno de los anteriores,De 2001a 5000 personas,100% remoto,35,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,Developer,9,0,0,0,".NET, C#, SQL",De 11  a 50  personas,100% remoto,35,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),1535000.0,Developer,2,4,2,3,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),33,Hombre Cis,Junior,9
Chubut,Full-Time,Staff (planta permanente),1067000.0,Developer,2,0,0,0,".NET, C#, CSS, Go, HTML, SQL, TypeScript",De 201 a 500 personas,100% remoto,45,Hombre Cis,Junior,4
Santa Fe,Full-Time,Staff (planta permanente),2291000.0,Developer,4,3,1,0,".NET, C#, CSS, HTML, Javascript, SQL",De 201 a 500 personas,Híbrido (presencial y remoto),28,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1900000.0,QA / Tester,15,2,2,0,".NET, Java, Javascript, SQL",De 1001 a 2000 personas,100% remoto,57,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,Sales / Pre-Sales,6,1,1,0,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),44,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,3159000.0,Manager / Director,4,4,3,3,"Python, SQL",De 2 a 10 personas,100% remoto,34,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3600000.0,Architect,20,2,2,3,Ninguno de los anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),44,Hombre Cis,Senior,9
Córdoba,Full-Time,Contractor,2715000.0,Developer,3,3,3,0,Java,De 101 a 200 personas,100% remoto,35,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,Developer,7,3,3,0,C,De 11  a 50  personas,100% presencial,30,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2274677.0,SysAdmin / DevOps / SRE,18,30,18,0,"Bash/Shell, CSS, HTML, Perl, PHP, Python, SQL",De 11  a 50  personas,100% presencial,57,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100055.0,SysAdmin / DevOps / SRE,8,7,5,0,Bash/Shell,De 501 a 1000 personas,100% presencial,27,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2640000.0,Data Scientist,2,2,2,0,"Python, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),42,Mujer Cis,Junior,5
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1535352.0,UX Designer,1,0,0,0,Ninguno de los anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),42,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2254000.0,Business Analyst,12,1,4,1,".NET, SQL",De 501 a 1000 personas,Híbrido (presencial y remoto),34,Hombre Cis,Senior,3
Mendoza,Full-Time,Staff (planta permanente),2800000.0,Developer,5,1,1,0,"Go, Javascript, Python, SQL, TypeScript",Más de 10000 personas,Híbrido (presencial y remoto),32,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3247638.73,Developer,5,3,1,0,"CSS, HTML, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),31,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2850000.0,Developer,6,3,6,0,"Java, Javascript, Kotlin",De 101 a 200 personas,100% remoto,30,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3200000.0,Technical Leader,26,2,2,0,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),51,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000.0,Recruiter,20,0,0,0,Ninguno de los anteriores,De 11  a 50  personas,100% presencial,51,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3172000.0,QA / Tester,10,4,8,9,SQL,De 51 a 100 personas,Híbrido (presencial y remoto),37,Hombre Cis,Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,Developer,10,5,5,2,"CSS, HTML, Javascript, PHP",De 101 a 200 personas,100% remoto,43,Hombre Cis,Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),1566265.0,Developer,5,0,0,0,".NET, C#, SQL",De 51 a 100 personas,100% remoto,30,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Developer,7,2,2,0,"Go, Java, Javascript, Scala",De 201 a 500 personas,100% remoto,29,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),5200000.0,Manager / Director,14,0,0,7,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),33,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1600000.0,Developer,2,2,2,2,".NET, CSS, HTML, Javascript, SQL",De 501 a 1000 personas,100% remoto,34,Hombre Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,Developer,0,0,0,0,Go,Más de 10000 personas,Híbrido (presencial y remoto),33,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1999663.0,Business Analyst,3,1,1,0,SQL,De 1001 a 2000 personas,Híbrido (presencial y remoto),24,Mujer Cis,Semi-Senior,6
Buenos Aires,Full-Time,Contractor,1610000.0,Developer,5,4,4,0,"Java, Javascript, PHP, SQL, Swift, TypeScript",De 2 a 10 personas,100% remoto,1000,Prefiero no decir,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1205000.0,Infosec,2,2,0,0,SQL,De 5001 a 10000 personas,100% remoto,26,Hombre Cis,Junior,5
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1600000.0,HelpDesk,19,14,19,0,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),41,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000.0,SysAdmin / DevOps / SRE,1,9,1,0,Bash/Shell,De 201 a 500 personas,100% presencial,39,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1814000.0,Networking,3,3,2,0,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),23,Hombre Cis,Semi-Senior,9
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2000000.0,Data Engineer,3,0,3,0,"C#, SQL",De 51 a 100 personas,100% remoto,24,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1085000.0,Infosec,0,0,0,0,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),21,Hombre Cis,Junior,9
Buenos Aires,Full-Time,Staff (planta permanente),1000000.0,Developer,4,4,4,0,"Go, HTML, Javascript, PHP",De 2 a 10 personas,Híbrido (presencial y remoto),24,Hombre Cis,Semi-Senior,4
Santa Fe,Full-Time,Staff (planta permanente),2300000.0,QA / Tester,4,2,4,0,SQL,De 201 a 500 personas,Híbrido (presencial y remoto),36,Mujer Cis,Semi-Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3700000.0,Developer,3,0,3,0,"Java, Kotlin",De 1001 a 2000 personas,100% remoto,37,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1600000.0,Developer,3,2,3,0,Java,De 51 a 100 personas,100% remoto,29,Mujer Cis,Semi-Senior,3
San Juan,Full-Time,Staff (planta permanente),1475000.0,Networking,20,9,4,3,Ninguno de los anteriores,De 51 a 100 personas,100% presencial,51,Hombre Cis,Senior,9
Santa Fe,Full-Time,Staff (planta permanente),3500000.0,SysAdmin / DevOps / SRE,20,15,15,0,"Bash/Shell, Powershell",De 2 a 10 personas,Híbrido (presencial y remoto),42,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3000000.0,Developer,11,0,0,0,Java,De 5001 a 10000 personas,100% remoto,35,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,RPA,5,3,3,1,"HTML, SQL",De 201 a 500 personas,100% remoto,25,Mujer Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,Manager / Director,10,2,2,0,SQL,De 2 a 10 personas,Híbrido (presencial y remoto),40,Mujer Cis,Senior,5
Córdoba,Full-Time,Staff (planta permanente),1800000.0,BI Analyst / Data Analyst,4,5,0,0,SQL,Más de 10000 personas,Híbrido (presencial y remoto),27,Hombre Cis,Semi-Senior,6
Córdoba,Full-Time,Contractor,934600.0,Developer,0,0,0,0,".NET, C#, HTML, Javascript, SQL, TypeScript",De 11  a 50  personas,100% remoto,23,Hombre Cis,Junior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1720000.0,Networking,3,1,1,3,Ninguno de los anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),27,Prefiero no decir,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2827185.0,Infosec,7,6,6,0,Python,De 201 a 500 personas,Híbrido (presencial y remoto),32,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),2000000.0,Developer,3,10,3,0,"C#, COBOL, Javascript, SQL, VBA",De 2001a 5000 personas,Híbrido (presencial y remoto),31,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2036000.0,Infosec,3,1,1,0,Ninguno de los anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),26,Hombre Cis,Semi-Senior,9
Tucumán,Full-Time,Staff (planta permanente),1184000.0,HelpDesk,2,1,1,0,"Bash/Shell, Python, SQL",De 101 a 200 personas,100% presencial,28,Hombre Cis,Junior,6
Santa Fe,Full-Time,Staff (planta permanente),2200000.0,BI Analyst / Data Analyst,6,5,5,0,"R, SQL, Power Fx",De 51 a 100 personas,Híbrido (presencial y remoto),30,Hombre Cis,Senior,5
Buenos Aires,Full-Time,Contractor,2500000.0,SysAdmin / DevOps / SRE,20,12,12,0,.NET,De 101 a 200 personas,Híbrido (presencial y remoto),48,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,SysAdmin / DevOps / SRE,6,5,5,1,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),29,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5700000.0,Technical Leader,20,12,7,15,".NET, SQL",De 501 a 1000 personas,Híbrido (presencial y remoto),43,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2993000.0,Infosec,20,10,3,0,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),51,Hombre Cis,Senior,9
Santa Fe,Full-Time,Staff (planta permanente),3800000.0,Developer,25,6,6,0,".NET, C#, HTML, SQL",De 201 a 500 personas,Híbrido (presencial y remoto),50,Hombre Cis,Senior,3
Santa Fe,Full-Time,Staff (planta permanente),4215000.0,Developer,15,14,4,0,".NET, C#, CSS, HTML, Javascript, SQL",De 201 a 500 personas,Híbrido (presencial y remoto),40,Hombre Cis,Senior,2
Santa Fe,Full-Time,Staff (planta permanente),2400000.0,Developer,3,2,2,0,".NET, CSS, HTML, Javascript, SQL, VBA",De 501 a 1000 personas,Híbrido (presencial y remoto),29,Hombre Cis,Semi-Senior,2
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1700000.0,Manager / Director,2,3,2,5,Ninguno de los anteriores,De 2001a 5000 personas,100% remoto,38,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,Manager / Director,22,0,5,6,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),46,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1396000.0,UX Designer,2,2,2,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),30,Hombre Cis,Junior,9
Neuquén,Full-Time,Staff (planta permanente),3200000.0,Networking,10,3,10,0,Ninguno de los anteriores,De 101 a 200 personas,100% presencial,32,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,Manager / Director,6,2,2,1,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),35,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,Functional Analyst,3,3,2,1,Ninguno de los anteriores,De 201 a 500 personas,100% remoto,26,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4710597.0,Technical Leader,5,6,4,0,Ninguno de los anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),31,Mujer Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1477905.0,Developer,2,2,2,0,"HTML, Java, Javascript, PHP, SQL",De 201 a 500 personas,Híbrido (presencial y remoto),26,Hombre Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000.0,HelpDesk,6,0,0,0,"CSS, HTML, Javascript, Python",De 201 a 500 personas,100% presencial,26,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2360600.0,Technical Leader,3,1,1,7,"Bash/Shell, CSS, HTML, Javascript, PHP, Python",De 101 a 200 personas,Híbrido (presencial y remoto),36,Hombre Cis,Semi-Senior,4
Santa Fe,Full-Time,Staff (planta permanente),2966400.0,Manager / Director,6,6,3,4,"C++, SQL, VBA",De 11  a 50  personas,100% presencial,35,Hombre Cis,Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1546000.0,BI Analyst / Data Analyst,1,5,1,0,".NET, CSS, HTML, Python, SQL, TypeScript",De 501 a 1000 personas,Híbrido (presencial y remoto),29,Hombre Cis,Junior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,Manager / Director,4,6,4,1,"CSS, HTML, Javascript, Python, SQL",De 101 a 200 personas,Híbrido (presencial y remoto),27,Mujer Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,SysAdmin / DevOps / SRE,5,1,5,0,"Bash/Shell, Python",De 101 a 200 personas,100% remoto,35,Hombre Cis,Semi-Senior,9
Santa Fe,Full-Time,Staff (planta permanente),2100000.0,Networking,8,0,0,0,Ninguno de los anteriores,De 1001 a 2000 personas,100% presencial,43,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1000000.0,Developer,2,2,1,0,".NET, C#, CSS, HTML, Javascript, SQL",De 501 a 1000 personas,100% remoto,24,Hombre Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2950000.0,Data Engineer,4,2,2,0,"Bash/Shell, Python, SQL",Más de 10000 personas,100% remoto,30,Hombre Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),3225000.0,Developer,7,3,3,0,".NET, CSS, HTML, SQL, TypeScript",De 2001a 5000 personas,100% remoto,33,Hombre Cis,Senior,2
Jujuy,Full-Time,Staff (planta permanente),3585947.0,Developer,10,2,2,0,"Java, Javascript, Kotlin, TypeScript",De 2001a 5000 personas,100% remoto,36,Hombre Cis,Senior,3
Córdoba,Full-Time,Staff (planta permanente),1500000.0,BI Analyst / Data Analyst,25,30,25,0,"Python, SQL",De 51 a 100 personas,100% presencial,56,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3525853.0,Technical Leader,0,3,0,2,"HTML, Javascript, PHP, SQL, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),31,Hombre Cis,Junior,4
Buenos Aires,Full-Time,Staff (planta permanente),5211000.0,Data Engineer,7,1,1,10,"Python, SQL",De 51 a 100 personas,Híbrido (presencial y remoto),45,Hombre Cis,Senior,6
Córdoba,Full-Time,Staff (planta permanente),950000.0,QA / Tester,2,1,2,1,"Javascript, TypeScript",De 201 a 500 personas,Híbrido (presencial y remoto),32,Hombre Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,SysAdmin / DevOps / SRE,5,0,0,1,"Bash/Shell, Delphi, Javascript, Python, SQL, VBA",Más de 10000 personas,Híbrido (presencial y remoto),30,Hombre Cis,Semi-Senior,4
Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,Developer,0,0,0,0,"Smalltalk, SQL",De 51 a 100 personas,100% remoto,24,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4504958.0,Developer,5,5,2,0,"Go, Python, SQL",Más de 10000 personas,100% remoto,28,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4262500.0,Business Analyst,12,10,10,0,Ninguno de los anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),42,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1140750.0,SysAdmin / DevOps / SRE,2,2,0,3,"Javascript, Python",De 11  a 50  personas,Híbrido (presencial y remoto),28,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1050000.0,QA / Tester,3,3,3,1,"Javascript, SQL, TypeScript",De 2001a 5000 personas,100% remoto,34,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1539000.0,BI Analyst / Data Analyst,3,3,3,0,"Python, SQL",De 5001 a 10000 personas,Híbrido (presencial y remoto),29,Hombre Cis,Semi-Senior,5
