dedicacion,contrato,salario,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,seniority,marvin_rol
Full-Time,Contractor,5029000.0,7,2,5,0,De 101 a 200 personas,100% remoto,32,Senior,6
Full-Time,Contractor,3300000.0,4,0,0,0,De 2 a 10 personas,100% remoto,33,Semi-Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2100000.0,3,3,2,2,De 201 a 500 personas,Híbrido (presencial y remoto),24,Semi-Senior,2
Full-Time,Staff (planta permanente),2032000.0,3,2,0,0,De 101 a 200 personas,100% remoto,23,Semi-Senior,6
Full-Time,Staff (planta permanente),1075000.0,3,3,1,0,Más de 10000 personas,100% remoto,36,Semi-Senior,5
Full-Time,Contractor,4450000.0,15,1,1,0,De 201 a 500 personas,100% remoto,38,Senior,2
Full-Time,Staff (planta permanente),4850000.0,10,7,3,0,Más de 10000 personas,Híbrido (presencial y remoto),34,Senior,3
Full-Time,Contractor,3587500.0,8,0,3,0,De 1001 a 2000 personas,100% remoto,33,Senior,3
Full-Time,Staff (planta permanente),1400000.0,20,15,15,6,De 201 a 500 personas,100% presencial,47,Senior,3
Full-Time,Contractor,900000.0,3,0,3,0,De 51 a 100 personas,100% remoto,22,Semi-Senior,2
Full-Time,Staff (planta permanente),3814863.0,12,5,2,9,De 11  a 50  personas,100% remoto,35,Manager or Above,5
Full-Time,Tercerizado (trabajo a través de consultora o agencia),6000000.0,6,0,5,0,Más de 10000 personas,100% remoto,28,Senior,3
Full-Time,Tercerizado (trabajo a través de consultora o agencia),5676975.0,8,1,1,0,1 (solamente yo),100% remoto,35,Senior,3
Full-Time,Contractor,3500000.0,6,3,3,0,De 201 a 500 personas,100% remoto,35,Senior,2
Full-Time,Contractor,1260000.0,3,3,3,0,De 11  a 50  personas,Híbrido (presencial y remoto),25,Semi-Senior,2
